C.D.S.  -  SIMBAD4 rel 1.7  -  2021.12.13CET23:28:52

Vmag < 7
--------

Number of objects : 15714

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     coord2 (ICRS,J2000/2000)      |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
-----|-----------------------------------|---|---------------------------------------|-----------------------------------|------|------|------|------|------|---------------------|-----|----
88   |TYC 4156-1489-1                    |*  |11 38 49.144 +64 20 49.12              |174.704767 +64.346978              |     ~| 6.93 | 6.80 |     ~|     ~|~                    |   1 |   0
89   |* nu. Eri                          |bC*|04 36 19.1414419 -03 21 08.856678      |069.0797560079 -03.3524601883      | 2.82 | 3.737| 3.928|     ~|     ~|B2III                | 375 |   0
90   |* iot Tri A                        |SB*|02 12 22.2805825756 +30 18 11.039446229|033.0928357607317 +30.3030665128414|     ~| 6.03 | 5.162|     ~|     ~|G5III                |  13 |   0
91   |* L Vel                            |*  |09 34 08.7932661 -51 15 18.953593      |143.5366386087 -51.2552648869      | 4.04 | 5.01 | 5.03 |     ~|     ~|B2IV                 |  56 |   0
92   |[SC96] GC 472                      |*  |18 12 30.0 -39 19 00                   |273.1250 -39.3167                  |     ~|     ~| 6.82 |     ~|     ~|~                    |   1 |   0
93   |* ksi Cyg                          |SB*|21 04 55.8622910 +43 55 40.264460      |316.2327595458 +43.9278512389      | 7.17 | 5.39 | 3.73 | 2.55 | 1.63 |K4.5Ib-II            | 301 |   0
94   |HD 168592                          |PM*|18 22 18.5735335091 -38 39 24.831468681|275.5773897229545 -38.6568976301892|     ~| 6.579| 5.073|     ~|     ~|K4/5III              |  27 |   0
95   |HD 154733                          |PM*|17 06 18.0470502343 +22 05 02.953283634|256.5751960426429 +22.0841536898982|     ~| 6.871| 5.565|     ~|     ~|K3III                | 103 |   0
96   |HD 74566                           |PM*|08 16 17.1543011581 -86 33 26.251410268|124.0714762548254 -86.5572920584078|     ~| 6.80 | 6.76 |     ~|     ~|A1IV/V               |  10 |   0
97   |HD 18885                           |*  |03 01 56.1189723705 -09 57 41.050973426|045.4838290515439 -09.9614030481739|     ~| 6.939| 5.837|     ~|     ~|K1III                |  44 |   0
98   |HD 114533                          |*  |13 14 17.3285330980 -78 26 50.834785349|198.5722022212416 -78.4474541070414|     ~| 6.882| 5.839|     ~|     ~|G2Ib                 |  24 |   0
99   |HD 19615                           |*  |03 15 07.5444466397 +73 52 05.320641185|048.7814351943321 +73.8681446225513|     ~| 8.03 | 6.56 |     ~|     ~|K0                   |  11 |   0
100  |HD 59499                           |*  |07 28 51.153 -31 50 54.22              |112.213138 -31.848394              |     ~| 6.20 | 6.37 |     ~|     ~|B2.5V                |  25 |   0
101  |HD 133790                          |*  |15 08 53.8963376436 -59 08 31.735606466|227.2245680735148 -59.1421487795740|     ~| 8.13 | 6.87 |     ~|     ~|K0II/IIICNIb         |  14 |   0
102  |* 56 Tau                           |a2*|04 19 36.7050073648 +21 46 24.576627150|064.9029375306868 +21.7734935075417|     ~| 5.231| 5.346|     ~|     ~|A0VpSi               | 179 |   0
103  |HD 190268                          |*  |20 05 25.8650634264 -34 40 00.743318054|301.3577710976098 -34.6668731439039|     ~| 6.99 | 6.99 |     ~|     ~|A0IV                 |   7 |   0
104  |* k Car                            |*  |09 20 56.8132949358 -62 24 16.681094270|140.2367220622324 -62.4046336372971|     ~| 5.733| 4.800|     ~|     ~|G6III                |  40 |   0
105  |HD 126131                          |*  |14 23 57.6991599365 -16 06 06.878014598|215.9904131664020 -16.1019105596106|     ~| 6.77 | 6.69 |     ~|     ~|A1V                  |  24 |   0
106  |HD 142165                          |SB*|15 53 53.9144819386 -24 31 59.373187650|238.4746436747441 -24.5331592187917| 4.95 | 5.350| 5.372|     ~|     ~|B5V                  | 125 |   0
107  |HD 157661B                         |*  |17 26 51.7891491954 -45 50 35.582001793|261.7157881216475 -45.8432172227203|     ~| 6.41 | 6.47 |     ~|     ~|B9V                  |   2 |   0
108  |* n Tau                            |PM*|05 19 16.6057541396 +22 05 47.432233812|079.8191906422482 +22.0965089538367|     ~| 5.894| 4.948|     ~|     ~|G8III                | 107 |   0
109  |HD 150038                          |*  |16 40 26.1529294368 -44 34 26.063567612|250.1089705393200 -44.5739065465590|     ~| 8.57 | 6.90 |     ~|     ~|K5III                |   6 |   0
110  |V* FW Vir                          |LP*|12 38 22.4042220372 +01 51 16.781484879|189.5933509251550 +01.8546615235775| 9.13 | 7.31 | 5.71 | 4.15 | 2.73 |M3+IIICa0.5          |  67 |   0
111  |HD 115612                          |*  |13 16 28.6370738111 +68 24 28.795106219|199.1193211408797 +68.4079986406164|     ~| 6.134| 6.189|     ~| 6.23 |B8V                  |  36 |   0
