C.D.S.  -  SIMBAD4 rel 1.7  -  2021.12.13CET23:28:52

Vmag < 7
--------

Number of objects : 15714

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     coord2 (ICRS,J2000/2000)      |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
-----|-----------------------------------|---|---------------------------------------|-----------------------------------|------|------|------|------|------|---------------------|-----|----
14831|* 32 Eri B                         |*  |03 54 17.4068324561 -02 57 10.314138262|058.5725284685669 -02.9528650384060|     ~| 6.19 | 6.09 |     ~|     ~|A1V                  |  38 |   0
14832|HD 187420                          |*  |19 52 37.7207114180 -54 58 15.706592385|298.1571696309084 -54.9710296089958|     ~| 6.587| 5.705|     ~|     ~|G8/K0III             |  19 |   1
14833|* nu. Hyi                          |*  |02 50 28.4591503474 -75 04 00.996934312|042.6185797931142 -75.0669435928643|     ~| 6.080| 4.742|     ~|     ~|K3III                |  45 |   0
14834|HD 216850                          |*  |22 55 47.0214795907 +44 18 29.694953141|343.9459228316278 +44.3082485980948|     ~| 7.67 | 6.82 |     ~|     ~|K0                   |  10 |   0
14835|HD 186307                          |dS*|19 41 57.6162862 +40 15 14.925895      |295.4900678592 +40.2541460819      |     ~| 6.4  | 6.23 |     ~|     ~|A6V                  |  75 |   1
14836|* bet Mon                          |** |06 28 49.06971 -07 01 59.0101          |097.20445711 -07.03305837          | 2.85 | 3.59 | 3.74 | 3.75 | 3.91 |B4Ve+B2Vn(e)+B3V:nne | 222 |   0
14837|HD 171994                          |PM*|18 37 09.0599594126 +16 11 53.861767227|279.2877498308857 +16.1982949353408|     ~| 7.212| 6.307|     ~|     ~|G8IV                 |  42 |   0
14838|* 41 Peg                           |dS*|22 39 47.0111568143 +19 40 52.056960278|339.9458798200594 +19.6811269334105|     ~| 6.346| 6.324|     ~|     ~|A2V                  |  33 |   0
14839|HD 80492                           |SB*|09 21 15.4747954372 +39 39 59.324235900|140.3144783143216 +39.6664789544167|     ~| 7.590| 6.645|     ~|     ~|K0                   |  27 |   0
14840|HD 100518                          |** |11 34 09.94791 +11 01 25.9054          |173.54144962 +11.02386262          |     ~| 6.73 | 6.55 |     ~|     ~|kA2hA5IIImA6         |  53 |   0
14841|* N Pup                            |*  |07 57 18.4216067 -44 06 35.493161      |119.3267566946 -44.1098592114      |     ~| 4.899| 5.064|     ~|     ~|B2III/IV             |  44 |   0
14842|* del Cen                          |Be*|12 08 21.4976373 -50 43 20.738614      |182.0895734887 -50.7224273928      | 1.51 | 2.39 | 2.52 | 2.48 | 2.62 |B2Vne                | 297 |   0
14843|HD 45239                           |*  |06 25 58.8275190459 -07 53 41.930142507|096.4951146626911 -07.8949805951409|     ~| 6.535| 6.404|     ~|     ~|A2V                  |  26 |   0
14844|HD 213575                          |PM*|22 32 34.0599344164 -06 28 01.836810290|338.1419163934018 -06.4671768917473|     ~| 7.62 | 6.95 |     ~|     ~|G5V                  |  78 |   0
14845|HD 52694                           |** |07 01 49.91859 -10 52 56.5201          |105.45799413 -10.88236670          |     ~| 7.35 | 6.67 |     ~|     ~|K1(III)+F(5)         |  29 |   1
14846|* ome Eri                          |SB*|04 52 53.6699535 -05 27 09.697201      |073.2236248062 -05.4526936669      |     ~| 4.64 | 4.40 |     ~|     ~|A9IVn                |  66 |   0
14847|HD 221672                          |*  |23 33 49.2263435297 +46 40 51.560756156|353.4551097647071 +46.6809890989321|     ~| 7.95 | 6.80 |     ~|     ~|K0                   |   7 |   0
14848|* phi Aqr                          |SB*|23 14 19.3596471948 -06 02 56.398606998|348.5806651966450 -06.0489996130549| 7.64 | 5.77 | 4.22 | 2.94 | 1.86 |M1.5III              | 125 |   0
14849|* 11 CMi                           |V* |07 46 16.2008080451 +10 46 05.705499301|116.5675033668544 +10.7682515275835|     ~| 5.247| 5.237|     ~|     ~|A1Vnn                |  53 |   0
14850|* kap Leo                          |** |09 24 39.2587397 +26 10 56.364971      |141.1635780821 +26.1823236031      | 7.00 | 5.69 | 4.46 | 3.55 | 2.92 |K2IIIb               | 136 |   0
14851|[SC93] 515                         |*  |06 56 48.0 +11 50 00                   |104.2000 +11.8333                  |     ~|     ~| 6.06 |     ~|     ~|F2Ib-II              |   1 |   0
14852|HD 43162                           |LM*|06 13 45.2955618090 -23 51 42.968779940|093.4387315075377 -23.8619357722055|     ~| 7.068| 6.366| 5.94 | 5.61 |G6.5V                | 156 |   0
14853|HD 4841                            |Em*|00 51 25.9267706955 +63 46 52.208780565|012.8580282112313 +63.7811691057124| 7.13 | 7.43 | 6.86 | 6.28 | 5.90 |B5Ia                 |  82 |   0
14854|HD 165185                          |PM*|18 06 23.7191233830 -36 01 11.229463639|271.5988296807627 -36.0197859621220| 6.64 | 6.57 | 5.95 | 5.58 |     ~|G1V                  | 155 |   0
14855|* 10 Aql                           |a2*|18 58 46.9239770704 +13 54 23.944546333|284.6955165711269 +13.9066512628702| 6.23 | 6.14 | 5.89 |     ~|     ~|A7VpSrEu_Ksn         | 277 |   0
14856|HD 82943                           |PM*|09 34 50.7352288445 -12 07 46.363303103|143.7113967868521 -12.1295453619731|     ~| 7.17 | 6.53 |     ~|     ~|F9VFe+0.5            | 427 |   2
14857|HD 130603A                         |PM*|14 48 23.3445818648 +24 22 00.748306126|222.0972690911034 +24.3668745294794|     ~| 7.03 | 6.52 |     ~|     ~|~                    |   2 |   0
14858|HD 114545                          |PM*|13 11 21.6556313441 -13 57 44.474094655|197.8402317972669 -13.9623539151820|     ~| 8.05 | 6.93 |     ~|     ~|K0III                |   8 |   0
14859|HD 36994                           |** |05 36 30.1914077399 +25 56 24.624389241|084.1257975322494 +25.9401734414558|     ~| 6.959| 6.506|     ~|     ~|F5III                |  51 |   0
14860|HD 187697                          |*  |19 51 45.0825228250 -13 01 57.644598805|297.9378438451042 -13.0326790552237|     ~| 8.42 | 6.83 |     ~|     ~|K4III                |   8 |   0
14861|* 10 Sge                           |cC*|19 56 01.2614273274 +16 38 05.236276391|299.0052559471973 +16.6347878545530| 6.45 | 6.03 | 5.36 | 6.81 | 4.789|F7Ib                 | 338 |   0
14862|HD 204234                          |PM*|21 26 54.7400398227 +10 40 04.237833217|321.7280834992612 +10.6678438425602|     ~| 7.33 | 6.96 |     ~|     ~|F2                   |  24 |   0
14863|HD 26038                           |*  |04 07 59.4176459298 +17 20 23.629671397|061.9975735247073 +17.3398971309435|     ~| 7.50 | 5.94 |     ~|     ~|K5III                |  31 |   1
14864|* 46 Tau                           |** |04 13 33.0999980554 +07 42 57.954420650|063.3879166585641 +07.7160984501805| 5.65 | 5.65 | 5.29 | 4.94 | 4.75 |F2V                  | 161 |   0
14865|HD 167162                          |*  |18 13 52.2220012262 +02 23 36.461144636|273.4675916717757 +02.3934614290656|     ~| 7.96 | 6.40 |     ~|     ~|K2III                |   9 |   0
14866|HD 27639                           |V* |04 22 22.7296954760 +20 49 17.091142496|065.5947070644833 +20.8214142062489|     ~| 7.86 | 5.95 |     ~|     ~|M0III                |  50 |   0
14867|HD 176873                          |*  |19 01 48.6009085273 +12 32 27.420103127|285.4525037855304 +12.5409500286464|     ~| 6.86 | 6.81 |     ~|     ~|B9V                  |  17 |   0
14868|* ups Per                          |PM*|01 37 59.5569926 +48 37 41.569533      |024.4981541358 +48.6282137592      | 6.29 | 4.85 | 3.57 | 2.61 | 1.96 |K3-IIICN0.5          | 222 |   0
14869|* 18 Sge                           |*  |20 16 19.7882511562 +21 35 55.325549236|304.0824510464842 +21.5987015414545|     ~| 7.169| 6.110|     ~|     ~|K1III                |  43 |   0
14870|HD 19275                           |PM*|03 11 56.2701604709 +74 23 37.167015930|047.9844590019619 +74.3936575044250|     ~| 4.878| 4.834|     ~|     ~|A2Vnn                |  49 |   0
14871|HD 219487                          |PM*|23 15 57.8875774044 +24 46 15.390177229|348.9911982391848 +24.7709417158970|     ~| 6.963| 6.567|     ~|     ~|F5V                  |  45 |   0
14872|HD 62393                           |PM*|07 42 56.3382289444 -21 59 40.999972419|115.7347426206016 -21.9947222145609|     ~| 7.93 | 6.82 |     ~|     ~|K1III/IV             |   7 |   0
14873|HD 206428                          |PM*|21 44 00.3755581872 -57 16 58.996427089|326.0015648257801 -57.2830545630804|     ~| 7.314| 6.843|     ~|     ~|F5/7IV/V             |  25 |   0
14874|* pi. CMa                          |PM*|06 55 37.4315941360 -20 08 11.380998493|103.9059649755666 -20.1364947218037|     ~| 5.027| 4.664|     ~|     ~|F1.5V                |  76 |   0
14875|HD 203338                          |LP?|21 19 15.6844340919 +58 37 24.634540958|319.8153518087164 +58.6235095947106| 7.09 | 7.09 | 5.75 | 4.26 | 2.93 |M1Ibep               | 112 |   0
14876|HD 58712                           |*  |07 27 40.5365980917 +22 08 29.259620049|111.9189024920489 +22.1414610055692|     ~| 8.52 | 6.79 |     ~|     ~|K5                   |  14 |   0
14877|HD 101883                          |*  |11 43 27.1875806638 -37 11 24.574977402|175.8632815860992 -37.1901597159450|     ~| 7.423| 5.966|     ~|     ~|K3III                |  17 |   0
14878|HD 61859                           |SB*|07 42 43.5494765956 +34 00 00.793723088|115.6814561524816 +34.0002204786356| 6.530| 6.500| 6.060|     ~|     ~|F7V                  |  51 |   0
14879|HD 211606                          |*  |22 17 47.2925395147 +26 56 11.470775904|334.4470522479781 +26.9365196599733|     ~| 8.226| 6.610|     ~|     ~|K5II                 |  17 |   0
14880|* 41 Ara                           |PM*|17 19 03.8375245548 -46 38 10.441325885|259.7659896856450 -46.6362337016347| 6.66 | 6.28 | 5.48 | 4.76 | 4.30 |G9V                  | 180 |   0
14881|HD 42471                           |*  |06 12 20.1253086146 +32 41 36.168215848|093.0838554525608 +32.6933800599577|     ~| 7.409| 5.769|     ~|     ~|M1III                |  31 |   0
14882|HD 40650                           |PM*|06 02 45.1412145766 +47 48 34.310043628|090.6880883940693 +47.8095305676743|     ~| 7.05 | 6.49 |     ~|     ~|F5                   |  46 |   0
14883|HD 24717                           |*  |03 58 49.8601914804 +57 27 03.197542610|059.7077507978351 +57.4508882062806| 9.003| 7.03 | 6.95 |     ~|     ~|A2                   |  16 |   0
14884|HD 117483                          |** |13 31 22.5212621085 -42 27 53.159560693|202.8438385921187 -42.4647665446368|     ~| 7.68 | 6.63 |     ~|     ~|K0III                |   6 |   1
14885|V* V1154 Tau                       |EB*|05 05 37.7174672 +23 03 39.778888      |076.4071561133 +23.0610496911      | 6.460| 6.920| 6.800|     ~|     ~|B5                   |  65 |   1
14886|HD 109045                          |*  |12 32 08.7986809709 -56 07 46.343376952|188.0366611707120 -56.1295398269311|     ~| 8.176| 6.525|     ~|     ~|K5III                |   7 |   0
14887|HD 19411                           |*  |03 07 12.8178843900 -01 48 09.897519765|046.8034078516252 -01.8027493110458|     ~| 7.92 | 6.95 |     ~|     ~|G8/K0III             |  16 |   0
14888|HD 146954                          |*  |16 20 32.6172937199 -39 25 49.233845662|245.1359053904998 -39.4303427349062|     ~| 6.033| 6.102|     ~|     ~|B9V                  |  28 |   0
14889|HD 63589                           |V* |07 51 02.3572245460 +33 14 01.153362318|117.7598217689416 +33.2336537117550|     ~| 6.206| 6.041|     ~|     ~|A2m                  |  52 |   0
14890|HD 63332                           |PM*|07 51 05.7112483642 +54 07 45.272686523|117.7737968681841 +54.1292424129231|     ~| 6.493| 6.020|     ~|     ~|F6V                  |  61 |   0
14891|HD 119076                          |*  |13 42 44.4994263928 -61 53 31.329387277|205.6854142766368 -61.8920359409104|     ~| 8.034| 6.880|     ~|     ~|K0/2III+A/F          |  15 |   1
14892|HD 39927                           |** |05 55 35.3682130034 -04 47 18.895536795|088.8973675541809 -04.7885820935541|     ~| 6.315| 6.264|     ~|     ~|A0V                  |  26 |   0
14893|HD 184961                          |*  |19 36 08.3487579607 +22 35 08.747477839|294.0347864915028 +22.5857631882887|     ~| 6.267| 6.319|     ~|     ~|B9IVpSi              |  62 |   0
14894|HD 105919                          |PM*|12 11 28.6165462834 -44 16 58.260695066|182.8692356095141 -44.2828501930738| 7.04 | 7.05 | 6.59 |     ~|     ~|F5V                  |  44 |   0
14895|HD 185639                          |*  |19 40 21.2965199978 -05 26 51.079990679|295.0887354999908 -05.4475222196330|     ~| 7.73 | 6.58 |     ~|     ~|G8III                |   6 |   0
14896|HD 8837                            |*  |01 27 46.8880178415 +40 20 08.893022807|021.9453667410062 +40.3358036174464|     ~| 6.553| 6.587|     ~|     ~|B9IV                 |  35 |   0
14897|HD 153791                          |*  |17 03 41.6828872168 -47 09 38.053975802|255.9236786967368 -47.1605705488339|     ~| 6.136| 6.064|     ~|     ~|A2/3V                |  23 |   1
14898|HD 82523                           |PM*|09 33 18.2911067759 +28 22 04.614252934|143.3262129448994 +28.3679484035929|     ~| 6.627| 6.505|     ~|     ~|A3Vnn                |  30 |   0
14899|HD 206893                          |PM*|21 45 21.9056012837 -12 47 00.068065895|326.3412733386821 -12.7833522405264|     ~| 7.11 | 6.67 |     ~|     ~|F5V                  |  87 |   0
14900|HD 150259                          |*  |16 40 34.5174231154 -20 24 31.132762194|250.1438225963140 -20.4086479894983|     ~| 7.324| 6.245|     ~|     ~|K0III                |  15 |   0
14901|HD 79039                           |Pu*|09 09 52.8235602787 -47 28 34.313130926|137.4700981678280 -47.4761980919240|     ~| 6.692| 6.812|     ~|     ~|B4V                  |  32 |   0
14902|HD 96694                           |*  |11 08 16.9428449784 -01 54 11.217036762|167.0705951874102 -01.9031158435449|     ~| 7.66 | 6.65 |     ~|     ~|K0III                |   9 |   0
14903|V* OY Peg                          |LP*|22 07 29.9662997864 +18 00 02.573767478|331.8748595824434 +18.0007149354106|     ~| 7.96 | 6.35 |     ~|     ~|M1                   |  20 |   0
14904|* eps UMi                          |RS*|16 45 58.2360423451 +82 02 14.146856704|251.4926501764380 +82.0372630157512|     ~| 5.109| 4.212|     ~|     ~|G5III                | 202 |   0
14905|HD 15869                           |PM*|02 33 36.5284544236 +18 52 48.067805481|038.4022018934315 +18.8800188348557| 7.170| 7.090| 6.820|     ~|     ~|A5                   |  23 |   0
14906|HD 184977                          |Er*|19 34 39.8606225517 +48 09 52.373192131|293.6660859272987 +48.1645481089252| 7.110| 7.040| 6.780|     ~|     ~|A9V                  |  34 |   0
14907|HD 206262                          |*  |21 40 48.2338411 +03 53 48.903056      |325.2009743379 +03.8969175156      |     ~| 8.36 | 6.81 |     ~|     ~|K4III                |   7 |   0
14908|* ups Sco                          |*  |17 30 45.8371228 -37 17 44.928511      |262.6909880117 -37.2958134753      | 1.64 | 2.47 | 2.70 |     ~|     ~|B2IV                 | 176 |   0
14909|HD 108510                          |PM*|12 27 55.4886304951 -08 40 40.784329085|186.9812026270630 -08.6779956469680|     ~| 7.33 | 6.74 |     ~|     ~|G1V_Fe-0.7           |  66 |   0
14910|HD 50621                           |*  |06 51 32.5794357604 -48 17 33.911677819|102.8857476490017 -48.2927532438385|     ~| 7.608| 6.404|     ~|     ~|K2/3III              |  16 |   0
14911|HD 133627                          |PM*|15 06 10.6445178257 -24 07 53.411782851|226.5443521576073 -24.1315032730142|     ~| 7.79 | 6.75 |     ~|     ~|K0III                |   9 |   0
14912|HD 113545                          |V* |13 03 53.3994535125 +43 00 27.344227060|195.9724977229689 +43.0075956186278|     ~| 8.438| 6.804|     ~|     ~|M0                   |  13 |   0
14913|HD 11588                           |*  |01 57 53.0176798144 +75 20 09.869626961|029.4709069992266 +75.3360748963780|     ~| 7.59 | 6.61 |     ~|     ~|G5                   |   9 |   0
14914|HD 155233                          |RG*|17 11 04.3642578093 -20 39 16.445529942|257.7681844075387 -20.6545682027617|     ~| 7.843| 6.818|     ~|     ~|K1III                |  24 |   0
14915|HD 23358                           |PM*|03 37 40.9817352162 -74 49 21.255538843|054.4207572300673 -74.8225709830120|     ~| 7.190| 6.879|     ~|     ~|F0III                |  25 |   0
